month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain,trends_score
2018-10-01,among_us,1553.0,,,7441.0,1.0,,,3.0,9300.0,,,,,,
2018-11-01,among_us,66.0,-1487.0,-95.8,455.0,1.0,,,1.0,1900.0,20.0,,,,,
2018-12-01,among_us,308.0,242.0,367.0,4378.0,1.0,,,2.0,2900.0,20.0,0.0,0.0,,,
2019-01-01,among_us,1.0,-307.0,-99.7,3.0,1.0,,,1.0,3.0,39.0,19.0,95.0,,,0.0
2019-02-01,among_us,1.0,,,7.0,1.0,,,3.0,49.0,27.0,-12.0,-30.8,,,0.0
2019-03-01,among_us,3.0,2.0,200.0,68.0,1.0,,,3.0,177.0,30.0,3.0,11.1,,,0.0
2019-04-01,among_us,1.0,-2.0,-66.7,11.0,1.0,,,3.0,81.0,28.0,-2.0,-6.7,,,0.0
2019-05-01,among_us,9.0,8.0,800.0,259.0,1.0,,,4.0,1200.0,30.0,2.0,7.1,,,0.0
2019-06-01,among_us,32.0,23.0,256.0,1975.0,2.0,1.0,100.0,11.0,15200.0,209.0,179.0,596.7,,,0.0
2019-07-01,among_us,122.0,90.0,281.0,26360.0,3.0,1.0,50.0,13.0,57900.0,564.0,355.0,169.9,,,0.0
2019-08-01,among_us,47.0,-75.0,-61.5,5987.0,2.0,-1.0,-33.3,12.0,26700.0,728.0,164.0,29.1,,,0.0
2019-09-01,among_us,15.0,-32.0,-68.1,523.0,2.0,,,8.0,6400.0,437.0,-291.0,-40.0,,,0.0
2019-10-01,among_us,24.0,9.0,60.0,2145.0,1.0,-1.0,-50.0,7.0,6600.0,277.0,-160.0,-36.6,,,0.0
2019-11-01,among_us,29.0,5.0,20.8,1165.0,1.0,,,5.0,8200.0,268.0,-9.0,-3.2,,,0.0
2019-12-01,among_us,78.0,49.0,169.0,2840.0,2.0,1.0,100.0,11.0,33900.0,202.0,-66.0,-24.6,,,0.0
2020-01-01,among_us,84.0,6.0,7.7,2393.0,4.0,2.0,100.0,17.0,45900.0,280.0,78.0,38.6,,,0.0
2020-02-01,among_us,118.0,34.0,40.5,16662.0,5.0,1.0,25.0,22.0,73800.0,875.0,595.0,212.5,,,0.0
2020-03-01,among_us,160.0,42.0,35.6,3832.0,8.0,3.0,60.0,36.0,106000.0,724.0,-151.0,-17.3,,,0.0
2020-04-01,among_us,451.0,291.0,182.0,27485.0,13.0,5.0,62.5,42.0,322000.0,850.0,126.0,17.4,,,0.0
2020-05-01,among_us,171.0,-280.0,-62.1,7041.0,14.0,1.0,7.7,61.0,120000.0,1253.0,403.0,47.4,,,0.0
2020-06-01,among_us,5644.0,5473.0,32.0,88277.0,54.0,40.0,286.0,221.0,4160000.0,2933.0,1680.0,134.1,,,0.0
2020-07-01,among_us,41146.0,35502.0,629.0,266564.0,499.0,445.0,824.0,3038.0,30600000.0,6790.0,3857.0,131.5,,,1.0
2020-08-01,among_us,204135.0,162989.0,396.0,743397.0,3484.0,2985.0,598.0,12362.0,147000000.0,73829.0,67039.0,987.3,,,4.0
2020-09-01,among_us,147393.0,-56742.0,-27.8,753943.0,2906.0,-578.0,-16.6,9117.0,110000000.0,447476.0,373647.0,506.1,,,69.0
2020-10-01,among_us,107112.0,-40281.0,-27.3,774280.0,1848.0,-1058.0,-36.4,5273.0,77000000.0,378432.0,-69044.0,-15.4,,,100.0
2020-11-01,among_us,67712.0,-39400.0,-36.8,498584.0,1207.0,-641.0,-34.7,3318.0,50300000.0,343004.0,-35428.0,-9.4,,,71.0
2020-12-01,among_us,42051.0,-25661.0,-37.9,268955.0,888.0,-319.0,-26.4,2435.0,31200000.0,184578.0,-158426.0,-46.2,,,54.0
