month,game,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain
2018-11-01,among_us,20,,,,
2018-12-01,among_us,20,0,0.0,,
2019-01-01,among_us,39,19,95.0,,
2019-02-01,among_us,27,-12,-30.8,,
2019-03-01,among_us,30,3,11.1,,
2019-04-01,among_us,28,-2,-6.7,,
2019-05-01,among_us,30,2,7.1,,
2019-06-01,among_us,209,179,596.7,,
2019-07-01,among_us,564,355,169.9,,
2019-08-01,among_us,728,164,29.1,,
2019-09-01,among_us,437,-291,-40.0,,
2019-10-01,among_us,277,-160,-36.6,,
2019-11-01,among_us,268,-9,-3.2,,
2019-12-01,among_us,202,-66,-24.6,,
2020-01-01,among_us,280,78,38.6,,
2020-02-01,among_us,875,595,212.5,,
2020-03-01,among_us,724,-151,-17.3,,
2020-04-01,among_us,850,126,17.4,,
2020-05-01,among_us,1253,403,47.4,,
2020-06-01,among_us,2933,1680,134.1,,
2020-07-01,among_us,6790,3857,131.5,,
2020-08-01,among_us,73829,67039,987.3,,
2020-09-01,among_us,447476,373647,506.1,,
2020-10-01,among_us,378432,-69044,-15.4,,
2020-11-01,among_us,343004,-35428,-9.4,,
2020-12-01,among_us,184578,-158426,-46.2,,
2021-01-01,among_us,121505,-63073,-34.2,,
2021-02-01,among_us,75822,-45683,-37.6,,
2021-03-01,among_us,132544,56722,74.8,,
2021-04-01,among_us,97580,-34964,-26.4,,
2021-05-01,among_us,28750,-68830,-70.5,,
2021-06-01,among_us,22305,-6445,-22.4,,
2021-07-01,among_us,19634,-2671,-12.0,,
2021-08-01,among_us,17635,-1999,-10.2,,
2021-09-01,among_us,17005,-630,-3.6,,
2021-10-01,among_us,14422,-2583,-15.2,,
2021-11-01,among_us,26106,11684,81.0,,
2021-12-01,among_us,18881,-7225,-27.7,,
2022-01-01,among_us,19519,638,3.4,,
2022-02-01,among_us,16171,-3348,-17.2,,
2022-03-01,among_us,12688,-3483,-21.5,,
2022-04-01,among_us,17173,4485,35.3,,
2022-05-01,among_us,13221,-3952,-23.0,,
2022-06-01,among_us,12630,-591,-4.5,,
2022-07-01,among_us,11125,-1505,-11.9,,
2022-08-01,among_us,10925,-200,-1.8,,
2022-09-01,among_us,12216,1291,11.8,,
2022-10-01,among_us,13700,1484,12.1,5711,
2022-11-01,among_us,12753,-947,-6.9,5892,3.2
2022-12-01,among_us,19292,6539,51.3,7300,23.9
2023-01-01,among_us,13177,-6115,-31.7,6534,-10.5
2023-02-01,among_us,11807,-1370,-10.4,5075,-22.3
2023-03-01,among_us,10508,-1299,-11.0,4638,-8.6
2023-04-01,among_us,9745,-763,-7.3,4400,-5.1
2023-05-01,among_us,8304,-1441,-14.8,3951,-10.2
2023-06-01,among_us,8767,463,5.6,4687,18.6
2023-07-01,among_us,9357,590,6.7,5261,12.2
2023-08-01,among_us,8675,-682,-7.3,4603,-12.5
2023-09-01,among_us,9938,1263,14.6,4258,-7.5
2023-10-01,among_us,14090,4152,41.8,4785,12.4
2023-11-01,among_us,11912,-2178,-15.5,4675,-2.3
2023-12-01,among_us,13271,1359,11.4,4697,0.5
2024-01-01,among_us,11543,-1728,-13.0,4690,-0.1
2024-02-01,among_us,9045,-2498,-21.6,4140,-11.7
2024-03-01,among_us,8683,-362,-4.0,3955,-4.5
2024-04-01,among_us,9053,370,4.3,3823,-3.3
2024-05-01,among_us,8009,-1044,-11.5,3756,-1.8
2024-06-01,among_us,9699,1690,21.1,4629,23.2
2024-07-01,among_us,10182,483,5.0,5223,12.8
2024-08-01,among_us,10106,-76,-0.7,5216,-0.1
2024-09-01,among_us,11029,923,9.1,4695,-10.0
2024-10-01,among_us,10700,-329,-3.0,4519,-3.7
2024-11-01,among_us,10610,-90,-0.8,4442,-1.7
2024-12-01,among_us,13999,3389,31.9,4848,9.1
2025-01-01,among_us,14911,912,6.5,5560,14.7
2025-02-01,among_us,14312,-599,-4.0,4860,-12.6
2025-03-01,among_us,11115,-3197,-22.3,4418,-9.1
2025-04-01,among_us,7504,-3611,-32.5,3397,-23.1
2025-05-01,among_us,7106,-398,-5.3,3335,-1.8
2025-06-01,among_us,9391,2285,32.2,4465,33.9
2025-07-01,among_us,11518,2127,22.6,6181,38.4
2025-08-01,among_us,10129,-1389,-12.1,5235,-15.3
2025-09-01,among_us,12600,2471,24.4,5155,-1.5
2025-10-01,among_us,12350,-250,-2.0,5035,-2.3
2025-11-01,among_us,14400,2050,16.6,4976,-1.2
2025-12-01,among_us,16298,1898,13.2,6075,22.1
2026-01-01,among_us,20324,4026,24.7,8496,39.9
2026-02-01,among_us,16297,-4027,-19.8,7121,-16.2
2026-03-01,among_us,14860,-1437,-8.8,6596,-7.4
2026-04-01,among_us,14730,-130,-0.9,6676,1.2
