month,game,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain
2020-08-01,fall_guys,172213,,,,
2020-09-01,fall_guys,151933,-20280,-11.8,,
2020-10-01,fall_guys,84090,-67843,-44.7,,
2020-11-01,fall_guys,23148,-60942,-72.5,,
2020-12-01,fall_guys,28892,5744,24.8,,
2021-01-01,fall_guys,20717,-8175,-28.3,,
2021-02-01,fall_guys,16687,-4030,-19.5,,
2021-03-01,fall_guys,23591,6904,41.4,,
2021-04-01,fall_guys,16260,-7331,-31.1,,
2021-05-01,fall_guys,12158,-4102,-25.2,,
2021-06-01,fall_guys,13896,1738,14.3,,
2021-07-01,fall_guys,18447,4551,32.8,,
2021-08-01,fall_guys,19215,768,4.2,,
2021-09-01,fall_guys,27688,8473,44.1,,
2021-10-01,fall_guys,16861,-10827,-39.1,,
2021-11-01,fall_guys,14910,-1951,-11.6,,
2021-12-01,fall_guys,15941,1031,6.9,,
2022-01-01,fall_guys,15741,-200,-1.3,,
2022-02-01,fall_guys,9989,-5752,-36.5,,
2022-03-01,fall_guys,20158,10169,101.8,,
2022-04-01,fall_guys,17782,-2376,-11.8,,
2022-05-01,fall_guys,12277,-5505,-31.0,,
2022-06-01,fall_guys,59920,47643,388.1,,
2022-07-01,fall_guys,52886,-7034,-11.7,,
2022-08-01,fall_guys,25670,-27216,-51.5,,
2022-09-01,fall_guys,18685,-6985,-27.2,,
2022-10-01,fall_guys,12463,-6222,-33.3,5621,
2022-11-01,fall_guys,7035,-5428,-43.6,3937,-30.0
2022-12-01,fall_guys,10105,3070,43.6,4151,5.4
2023-01-01,fall_guys,5403,-4702,-46.5,3578,-13.8
2023-02-01,fall_guys,4390,-1013,-18.7,2691,-24.8
2023-03-01,fall_guys,3738,-652,-14.9,2321,-13.7
2023-04-01,fall_guys,3467,-271,-7.2,2160,-6.9
2023-05-01,fall_guys,5727,2260,65.2,2832,31.1
2023-06-01,fall_guys,4580,-1147,-20.0,3034,7.1
2023-07-01,fall_guys,4015,-565,-12.3,2836,-6.5
2023-08-01,fall_guys,3806,-209,-5.2,2619,-7.7
2023-09-01,fall_guys,3674,-132,-3.5,2179,-16.8
2023-10-01,fall_guys,3327,-347,-9.4,2024,-7.1
2023-11-01,fall_guys,2732,-595,-17.9,1780,-12.1
2023-12-01,fall_guys,4027,1295,47.4,1742,-2.1
2024-01-01,fall_guys,2848,-1179,-29.3,1736,-0.3
2024-02-01,fall_guys,2328,-520,-18.3,1486,-14.4
2024-03-01,fall_guys,2728,400,17.2,1411,-5.0
2024-04-01,fall_guys,2026,-702,-25.7,1262,-10.6
2024-05-01,fall_guys,2008,-18,-0.9,1257,-0.4
2024-06-01,fall_guys,1893,-115,-5.7,1280,1.8
2024-07-01,fall_guys,1954,61,3.2,1314,2.7
2024-08-01,fall_guys,2500,546,27.9,1552,18.1
2024-09-01,fall_guys,2120,-380,-15.2,1265,-18.5
2024-10-01,fall_guys,1750,-370,-17.5,1032,-18.4
2024-11-01,fall_guys,1414,-336,-19.2,878,-14.9
2024-12-01,fall_guys,1647,233,16.5,847,-3.5
2025-01-01,fall_guys,1321,-326,-19.8,847,0.0
2025-02-01,fall_guys,1300,-21,-1.6,814,-3.9
2025-03-01,fall_guys,1113,-187,-14.4,703,-13.6
2025-04-01,fall_guys,1289,176,15.8,769,9.4
2025-05-01,fall_guys,1128,-161,-12.5,691,-10.1
2025-06-01,fall_guys,1246,118,10.5,713,3.2
2025-07-01,fall_guys,1154,-92,-7.4,694,-2.7
2025-08-01,fall_guys,1195,41,3.6,731,5.3
2025-09-01,fall_guys,1053,-142,-11.9,619,-15.3
2025-10-01,fall_guys,1023,-30,-2.8,557,-10.0
2025-11-01,fall_guys,1015,-8,-0.8,553,-0.7
2025-12-01,fall_guys,999,-16,-1.6,559,1.1
2026-01-01,fall_guys,1136,137,13.7,629,12.5
2026-02-01,fall_guys,945,-191,-16.8,557,-11.4
2026-03-01,fall_guys,939,-6,-0.6,564,1.3
2026-04-01,fall_guys,937,-2,-0.2,555,-1.6
