month,game,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain
2023-10-01,lethal_company,4100,,,968,
2023-11-01,lethal_company,184015,179915,4388.2,38932,3921.9
2023-12-01,lethal_company,240817,56802,30.9,107668,176.6
2024-01-01,lethal_company,204347,-36470,-15.1,94360,-12.4
2024-02-01,lethal_company,106658,-97689,-47.8,51308,-45.6
2024-03-01,lethal_company,73240,-33418,-31.3,26754,-47.9
2024-04-01,lethal_company,53155,-20085,-27.4,23945,-10.5
2024-05-01,lethal_company,29986,-23169,-43.6,13737,-42.6
2024-06-01,lethal_company,22182,-7804,-26.0,12035,-12.4
2024-07-01,lethal_company,29213,7031,31.7,14274,18.6
2024-08-01,lethal_company,44040,14827,50.8,16508,15.7
2024-09-01,lethal_company,35021,-9019,-20.5,15875,-3.8
2024-10-01,lethal_company,27158,-7863,-22.5,13537,-14.7
2024-11-01,lethal_company,28179,1021,3.8,14361,6.1
2024-12-01,lethal_company,25729,-2450,-8.7,13110,-8.7
2025-01-01,lethal_company,36121,10392,40.4,17520,33.6
2025-02-01,lethal_company,31361,-4760,-13.2,15472,-11.7
2025-03-01,lethal_company,22692,-8669,-27.6,8928,-42.3
2025-04-01,lethal_company,10207,-12485,-55.0,4491,-49.7
2025-05-01,lethal_company,7790,-2417,-23.7,3833,-14.7
2025-06-01,lethal_company,16935,9145,117.4,6128,59.9
2025-07-01,lethal_company,7059,-9876,-58.3,4271,-30.3
2025-08-01,lethal_company,6568,-491,-7.0,3974,-7.0
2025-09-01,lethal_company,7004,436,6.6,3350,-15.7
2025-10-01,lethal_company,8721,1717,24.5,4094,22.2
2025-11-01,lethal_company,8398,-323,-3.7,4278,4.5
2025-12-01,lethal_company,8812,414,4.9,4431,3.6
2026-01-01,lethal_company,10149,1337,15.2,5018,13.2
2026-02-01,lethal_company,7952,-2197,-21.6,4139,-17.5
2026-03-01,lethal_company,9286,1334,16.8,3696,-10.7
