month,game,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain
2021-12-01,vampire_survivors,12,,,,
2022-01-01,vampire_survivors,50862,50850,423750.0,,
2022-02-01,vampire_survivors,77061,26199,51.5,,
2022-03-01,vampire_survivors,58339,-18722,-24.3,,
2022-04-01,vampire_survivors,68866,10527,18.0,,
2022-05-01,vampire_survivors,48197,-20669,-30.0,,
2022-06-01,vampire_survivors,34711,-13486,-28.0,,
2022-07-01,vampire_survivors,21119,-13592,-39.2,,
2022-08-01,vampire_survivors,20815,-304,-1.4,,
2022-09-01,vampire_survivors,12961,-7854,-37.7,,
2022-10-01,vampire_survivors,35413,22452,173.2,11487,
2022-11-01,vampire_survivors,18545,-16868,-47.6,9709,-15.5
2022-12-01,vampire_survivors,27925,9380,50.6,13460,38.6
2023-01-01,vampire_survivors,21408,-6517,-23.3,13708,1.8
2023-02-01,vampire_survivors,16215,-5193,-24.3,9318,-32.0
2023-03-01,vampire_survivors,10055,-6160,-38.0,6641,-28.7
2023-04-01,vampire_survivors,28583,18528,184.3,10841,63.2
2023-05-01,vampire_survivors,10720,-17863,-62.5,5635,-48.0
2023-06-01,vampire_survivors,7697,-3023,-28.2,4735,-16.0
2023-07-01,vampire_survivors,10348,2651,34.4,6031,27.4
2023-08-01,vampire_survivors,18734,8386,81.0,8647,43.4
2023-09-01,vampire_survivors,17460,-1274,-6.8,8057,-6.8
2023-10-01,vampire_survivors,12127,-5333,-30.5,6846,-15.0
2023-11-01,vampire_survivors,9207,-2920,-24.1,5688,-16.9
2023-12-01,vampire_survivors,15023,5816,63.2,8074,41.9
2024-01-01,vampire_survivors,11607,-3416,-22.7,6661,-17.5
2024-02-01,vampire_survivors,6845,-4762,-41.0,4336,-34.9
2024-03-01,vampire_survivors,8630,1785,26.1,4806,10.8
2024-04-01,vampire_survivors,7118,-1512,-17.5,3909,-18.7
2024-05-01,vampire_survivors,12585,5467,76.8,5604,43.4
2024-06-01,vampire_survivors,5944,-6641,-52.8,3707,-33.9
2024-07-01,vampire_survivors,5792,-152,-2.6,3873,4.5
2024-08-01,vampire_survivors,9996,4204,72.6,4613,19.1
2024-09-01,vampire_survivors,5984,-4012,-40.1,3778,-18.1
2024-10-01,vampire_survivors,16052,10068,168.2,3992,5.7
2024-11-01,vampire_survivors,19812,3760,23.4,9089,127.7
2024-12-01,vampire_survivors,8237,-11575,-58.4,5145,-43.4
2025-01-01,vampire_survivors,7075,-1162,-14.1,4540,-11.8
2025-02-01,vampire_survivors,5880,-1195,-16.9,3719,-18.1
2025-03-01,vampire_survivors,5771,-109,-1.9,3487,-6.2
2025-04-01,vampire_survivors,12811,7040,122.0,5204,49.2
2025-05-01,vampire_survivors,6042,-6769,-52.8,3701,-28.9
2025-06-01,vampire_survivors,6021,-21,-0.3,3288,-11.2
2025-07-01,vampire_survivors,5179,-842,-14.0,3310,0.7
2025-08-01,vampire_survivors,4517,-662,-12.8,2975,-10.1
2025-09-01,vampire_survivors,4204,-313,-6.9,2801,-5.8
2025-10-01,vampire_survivors,13901,9697,230.7,4764,70.1
2025-11-01,vampire_survivors,15557,1656,11.9,6812,43.0
2025-12-01,vampire_survivors,5562,-9995,-64.2,3944,-42.1
2026-01-01,vampire_survivors,5770,208,3.7,3720,-5.7
2026-02-01,vampire_survivors,4842,-928,-16.1,3144,-15.5
2026-03-01,vampire_survivors,4592,-250,-5.2,2828,-10.1
2026-04-01,vampire_survivors,7778,3186,69.4,3143,11.1
