Month,Peak,Gain,% Gain,Average,Avg % Gain
April 2026,937,-2,-0.20%,555,-1.60%
March 2026,939,-6,-0.60%,564,0.013
February 2026,945,-191,-16.80%,557,-11.40%
January 2026,"1,136",137,0.137,629,0.125
December 2025,999,-16,-1.60%,559,0.011
November 2025,"1,015",-8,-0.80%,553,-0.70%
October 2025,"1,023",-30,-2.80%,557,-10.00%
September 2025,"1,053",-142,-11.90%,619,-15.30%
August 2025,"1,195",41,0.036,731,0.053
July 2025,"1,154",-92,-7.40%,694,-2.70%
June 2025,"1,246",118,0.105,713,0.032
May 2025,"1,128",-161,-12.50%,691,-10.10%
April 2025,"1,289",176,0.158,769,0.094
March 2025,"1,113",-187,-14.40%,703,-13.60%
February 2025,"1,300",-21,-1.60%,814,-3.90%
January 2025,"1,321",-326,-19.80%,847,0
December 2024,"1,647",233,0.165,847,-3.50%
November 2024,"1,414",-336,-19.20%,878,-14.90%
October 2024,"1,750",-370,-17.50%,"1,032",-18.40%
September 2024,"2,120",-380,-15.20%,"1,265",-18.50%
August 2024,"2,500",546,0.279,"1,552",0.181
July 2024,"1,954",61,0.032,"1,314",0.027
June 2024,"1,893",-115,-5.70%,"1,280",0.018
May 2024,"2,008",-18,-0.90%,"1,257",-0.40%
April 2024,"2,026",-702,-25.70%,"1,262",-10.60%
March 2024,"2,728",400,0.172,"1,411",-5.00%
February 2024,"2,328",-520,-18.30%,"1,486",-14.40%
January 2024,"2,848","-1,179",-29.30%,"1,736",-0.30%
December 2023,"4,027",1295,0.474,"1,742",-2.10%
November 2023,"2,732",-595,-17.90%,"1,780",-12.10%
October 2023,"3,327",-347,-9.40%,"2,024",-7.10%
September 2023,"3,674",-132,-3.50%,"2,179",-16.80%
August 2023,"3,806",-209,-5.20%,"2,619",-7.70%
July 2023,"4,015",-565,-12.30%,"2,836",-6.50%
June 2023,"4,580","-1,147",-20.00%,"3,034",0.071
May 2023,"5,727",2260,0.652,"2,832",0.311
April 2023,"3,467",-271,-7.20%,"2,160",-6.90%
March 2023,"3,738",-652,-14.90%,"2,321",-13.70%
February 2023,"4,390","-1,013",-18.70%,"2,691",-24.80%
January 2023,"5,403","-4,702",-46.50%,"3,578",-13.80%
December 2022,"10,105",3070,0.436,"4,151",0.054
November 2022,"7,035","-5,428",-43.60%,"3,937",-30.00%
October 2022,"12,463","-6,222",-33.30%,"5,621",-
September 2022,"18,685","-6,985",-27.20%,-,-
August 2022,"25,670","-27,216",-51.50%,-,-
July 2022,"52,886","-7,034",-11.70%,-,-
June 2022,"59,920",47643,3.881,-,-
May 2022,"12,277","-5,505",-31.00%,-,-
April 2022,"17,782","-2,376",-11.80%,-,-
March 2022,"20,158",10169,1.018,-,-
February 2022,"9,989","-5,752",-36.50%,-,-
January 2022,"15,741",-200,-1.30%,-,-
December 2021,"15,941",1031,0.069,-,-
November 2021,"14,910","-1,951",-11.60%,-,-
October 2021,"16,861","-10,827",-39.10%,-,-
September 2021,"27,688",8473,0.441,-,-
August 2021,"19,215",768,0.042,-,-
July 2021,"18,447",4551,0.328,-,-
June 2021,"13,896",1738,0.143,-,-
May 2021,"12,158","-4,102",-25.20%,-,-
April 2021,"16,260","-7,331",-31.10%,-,-
March 2021,"23,591",6904,0.414,-,-
February 2021,"16,687","-4,030",-19.50%,-,-
January 2021,"20,717","-8,175",-28.30%,-,-
December 2020,"28,892",5744,0.248,-,-
November 2020,"23,148","-60,942",-72.50%,-,-
October 2020,"84,090","-67,843",-44.70%,-,-
September 2020,"151,933","-20,280",-11.80%,-,-
August 2020,"172,213",-,-,-,-
