Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"18,989",9703,1.045,"7,222",0.954
March 2026,"9,286",1334,0.168,"3,696",-10.70%
February 2026,"7,952","-2,197",-21.60%,"4,139",-17.50%
January 2026,"10,149",1337,0.152,"5,018",0.132
December 2025,"8,812",414,0.049,"4,431",0.036
November 2025,"8,398",-323,-3.70%,"4,278",0.045
October 2025,"8,721",1717,0.245,"4,094",0.222
September 2025,"7,004",436,0.066,"3,350",-15.70%
August 2025,"6,568",-491,-7.00%,"3,974",-7.00%
July 2025,"7,059","-9,876",-58.30%,"4,271",-30.30%
June 2025,"16,935",9145,1.174,"6,128",0.599
May 2025,"7,790","-2,417",-23.70%,"3,833",-14.70%
April 2025,"10,207","-12,485",-55.00%,"4,491",-49.70%
March 2025,"22,692","-8,669",-27.60%,"8,928",-42.30%
February 2025,"31,361","-4,760",-13.20%,"15,472",-11.70%
January 2025,"36,121",10392,0.404,"17,520",0.336
December 2024,"25,729","-2,450",-8.70%,"13,110",-8.70%
November 2024,"28,179",1021,0.038,"14,361",0.061
October 2024,"27,158","-7,863",-22.50%,"13,537",-14.70%
September 2024,"35,021","-9,019",-20.50%,"15,875",-3.80%
August 2024,"44,040",14827,0.508,"16,508",0.157
July 2024,"29,213",7031,0.317,"14,274",0.186
June 2024,"22,182","-7,804",-26.00%,"12,035",-12.40%
May 2024,"29,986","-23,169",-43.60%,"13,737",-42.60%
April 2024,"53,155","-20,085",-27.40%,"23,945",-10.50%
March 2024,"73,240","-33,418",-31.30%,"26,754",-47.90%
February 2024,"106,658","-97,689",-47.80%,"51,308",-45.60%
January 2024,"204,347","-36,470",-15.10%,"94,360",-12.40%
December 2023,"240,817",56802,0.309,"107,668",1.766
November 2023,"184,015",179915,43.882,"38,932",39.219
October 2023,"4,100",-,-,968,-
