Month,Peak,Gain,% Gain,Average,Avg % Gain
April 2026,"7,778",3186,69.40%,"3,143",0.111
March 2026,"4,592",-250,-5.20%,"2,828",-10.10%
February 2026,"4,842",-928,-16.10%,"3,144",-15.50%
January 2026,"5,770",208,0.037,"3,720",-5.70%
December 2025,"5,562","-9,995",-64.20%,"3,944",-42.10%
November 2025,"15,557",1656,0.119,"6,812",43.00%
October 2025,"13,901",9697,230.70%,"4,764",70.10%
September 2025,"4,204",-313,-6.90%,"2,801",-5.80%
August 2025,"4,517",-662,-12.80%,"2,975",-10.10%
July 2025,"5,179",-842,-14.00%,"3,310",0.007
June 2025,"6,021",-21,-0.30%,"3,288",-11.20%
May 2025,"6,042","-6,769",-52.80%,"3,701",-28.90%
April 2025,"12,811","7,040",122.00%,"5,204",49.20%
March 2025,"5,771",-109,-1.90%,"3,487",-6.20%
February 2025,"5,880","-1,195",-16.90%,"3,719",-18.10%
January 2025,"7,075","-1,162",-14.10%,"4,540",-11.80%
December 2024,"8,237","-11,575",-58.40%,"5,145",-43.40%
November 2024,"19,812",3760,23.40%,"9,089",127.70%
October 2024,"16,052",10068,168.20%,"3,992",5.70%
September 2024,"5,984","-4,012",-40.10%,"3,778",-18.10%
August 2024,"9,996",4204,72.60%,"4,613",19.10%
July 2024Fanatical: Into Games Bundle 2024,"5,792",-152,-2.60%,"3,873",0.045
June 2024,"5,944","-6,641",-52.80%,"3,707",-33.90%
May 2024,"12,585","5,467",76.80%,"5,604",43.40%
April 2024,"7,118","-1,512",-17.50%,"3,909",-18.70%
March 2024,"8,630",1785,26.10%,"4,806",10.80%
February 2024,"6,845","-4,762",-41.00%,"4,336",-34.90%
January 2024,"11,607","-3,416",-22.70%,"6,661",-17.50%
December 2023,"15,023",5816,0.632,"8,074",0.419
November 2023,"9,207","-2,920",-24.10%,"5,688",-16.90%
October 2023,"12,127","-5,333",-30.50%,"6,846",-15.00%
September 2023,"17,460","-1,274",-6.80%,"8,057",-6.80%
August 2023,"18,734",8386,81.00%,"8,647",43.40%
July 2023,"10,348",2651,0.344,"6,031",0.274
June 2023,"7,697","-3,023",-28.20%,"4,735",-16.00%
May 2023,"10,720","-17,863",-62.50%,"5,635",-48.00%
April 2023,"28,583",18528,184.30%,"10,841",63.20%
March 2023,"10,055","-6,160",-38.00%,"6,641",-28.70%
February 2023,"16,215","-5,193",-24.30%,"9,318",-32.00%
January 2023,"21,408","-6,517",-23.30%,"13,708",1.80%
December 2022,"27,925",9380,0.506,"13,460",0.386
November 2022,"18,545","-16,868",-47.60%,"9,709",-15.50%
October 2022,"35,413",22452,1.732,"11,487",-
September 2022,"12,961","-7,854",-37.70%,-,-
August 2022,"20,815",-304,-1.40%,-,-
July 2022,"21,119","-13,592",-39.20%,-,-
June 2022,"34,711","-13,486",-28.00%,-,-
May 2022,"48,197","-20,669",-30.00%,-,-
April 2022,"68,866",10527,0.18,-,-
March 2022,"58,339","-18,722",-24.30%,-,-
February 2022,"77,061","26,199",51.50%,-,-
January 2022,"50,862",50850,4237.5,-,-
December 2021,12,-,-,-,-
